arrondissements,cantons,communes,departements,regions,quartiers,QP
,,Saint-Bris-des-Bois,,,,
,,Saint-Bris-le-Vineux,,,,
,,Saint-Brisson,,,,
,,Saint-Brisson-sur-Loire,,,,
,,Saint-Broing,,,,
,,Saint-Broing-les-Moines,,,,
,,Saint-Broingt-le-Bois,,,,
,,Saint-Broingt-les-Fosses,,,,
,,Saint-Broladre,,,,
,,Saint-Brès,,,,
,,Saint-Bueil,,,,
,,Saint-Béat,,,,
,,Saint-Bénigne,,,,
,,Saint-Bénézet,,,,
,,Saint-Bérain,,,,
,,Saint-Bérain-sur-Dheune,,,,
,,Saint-Béron,,,,
,,Saint-Bômer-les-Forges,,,,
,,Saint-Calais,,,,
,,Saint-Calais-du-Désert,,,,
,,Saint-Calez-en-Saosnois,,,,
,,Saint-Cannat,,,,
,,Saint-Caprais,,,,
,,Saint-Caprais-de-Blaye,,,,
,,Saint-Caprais-de-Bordeaux,,,,
,,Saint-Caprais-de-Lerm,,,,
,,Saint-Capraise-d'Eymet,,,,
,,Saint-Capraise-de-Lalinde,,,,
,,Saint-Caradec,,,,
,,Saint-Caradec-Trégomel,,,,
,,Saint-Carné,,,,
,,Saint-Carreuc,,,,
,,Saint-Cassien,,,,
,,Saint-Cassin,,,,
,,Saint-Cast-le-Guildo,,,,
,,Saint-Castin,,,,
,,Saint-Cergues,,,,
,,Saint-Cernin,,,,
,,Saint-Cernin-de-Labarde,,,,
,,Saint-Cernin-de-Larche,,,,
,,Saint-Cernin-de-l'Herm,,,,
,,Saint-Chabrais,,,,
,,Saint-Chaffrey,,,,
,,Saint-Chamant,,,,
,,Saint-Chamarand,,,,
,,Saint-Chamas,,,,
,,Saint-Chamassy,,,,
,,Saint-Chamond,,,,
,,Saint-Champ,,,,
,,Saint-Chaptes,,,,
,,Saint-Charles-la-Forêt,,,,
,,Saint-Chartier,,,,
,,Saint-Chef,,,,
,,Saint-Chels,,,,
,,Saint-Chinian,,,,
,,Saint-Christ-Briost,,,,
,,Saint-Christaud,,,,
,,Saint-Christo-en-Jarez,,,,
,,Saint-Christol,,,,
,,Saint-Christol-de-Rodières,,,,
,,Saint-Christol-lès-Alès,,,,
,,Saint-Christoly-Médoc,,,,
,,Saint-Christoly-de-Blaye,,,,
,,Saint-Christophe,,,,
,,Saint-Christophe-Dodinicourt,,,,
,,Saint-Christophe-Vallon,,,,
,,Saint-Christophe-d'Allier,,,,
,,Saint-Christophe-de-Chaulieu,,,,
,,Saint-Christophe-de-Double,,,,
,,Saint-Christophe-de-Valains,,,,
,,Saint-Christophe-des-Bardes,,,,
,,Saint-Christophe-des-Bois,,,,
,,Saint-Christophe-du-Bois,,,,
,,Saint-Christophe-du-Foc,,,,
,,Saint-Christophe-du-Jambet,,,,
,,Saint-Christophe-du-Ligneron,,,,
,,Saint-Christophe-du-Luat,,,,
,,Saint-Christophe-en-Bazelle,,,,
,,Saint-Christophe-en-Boucherie,,,,
,,Saint-Christophe-en-Bresse,,,,
,,Saint-Christophe-en-Brionnais,,,,
,,Saint-Christophe-en-Champagne,,,,
,,Saint-Christophe-en-Oisans,,,,
,,Saint-Christophe-et-le-Laris,,,,
,,Saint-Christophe-le-Chaudry,,,,
,,Saint-Christophe-sur-Avre,,,,
,,Saint-Christophe-sur-Condé,,,,
,,Saint-Christophe-sur-Dolaison,,,,
,,Saint-Christophe-sur-Guiers,,,,
,,Saint-Christophe-sur-Roc,,,,
,,Saint-Christophe-sur-le-Nais,,,,
,,Saint-Christophe-à-Berry,,,,
,,Saint-Chély-d'Apcher,,,,
,,Saint-Chély-d'Aubrac,,,,
,,Saint-Chéron,,,,
,,Saint-Cibard,,,,
,,Saint-Cierge-la-Serre,,,,
,,Saint-Cierge-sous-le-Cheylard,,,,
,,Saint-Ciergues,,,,
,,Saint-Ciers-Champagne,,,,
,,Saint-Ciers-d'Abzac,,,,
,,Saint-Ciers-de-Canesse,,,,
,,Saint-Ciers-du-Taillon,,,,
,,Saint-Ciers-sur-Bonnieure,,,,
,,Saint-Ciers-sur-Gironde,,,,
,,Saint-Cirgue,,,,
,,Saint-Cirgues,,,,
,,Saint-Cirgues-de-Jordanne,,,,
,,Saint-Cirgues-de-Malbert,,,,
,,Saint-Cirgues-de-Prades,,,,
,,Saint-Cirgues-en-Montagne,,,,
,,Saint-Cirgues-la-Loutre,,,,
,,Saint-Cirgues-sur-Couze,,,,
,,Saint-Cirice,,,,
,,Saint-Cirq,,,,
,,Saint-Cirq-Lapopie,,,,
,,Saint-Cirq-Madelon,,,,
,,Saint-Cirq-Souillaguet,,,,
,,Saint-Civran,,,,
,,Saint-Clair,,,,
,,Saint-Clair-d'Arcey,,,,
,,Saint-Clair-de-Halouze,,,,
,,Saint-Clair-de-la-Tour,,,,
,,Saint-Clair-du-Rhône,,,,
,,Saint-Clair-sur-Epte,,,,
,,Saint-Clair-sur-Galaure,,,,
,,Saint-Clair-sur-l'Elle,,,,
,,Saint-Clair-sur-les-Monts,,,,
,,Saint-Clar,,,,
,,Saint-Clar-de-Rivière,,,,
,,Saint-Claud,,,,
,,Saint-Claude,,,,
,,Saint-Claude-de-Diray,,,,
,,Saint-Clet,,,,
,,Saint-Cloud,,,,
,,Saint-Clément,,,,
,,Saint-Clément-Rancoudray,,,,
,,Saint-Clément-de-Rivière,,,,
,,Saint-Clément-de-Régnat,,,,
,,Saint-Clément-de-Valorgue,,,,
,,Saint-Clément-de-Vers,,,,
,,Saint-Clément-de-la-Place,,,,
,,Saint-Clément-des-Baleines,,,,
,,Saint-Clément-des-Levées,,,,
,,Saint-Clément-les-Places,,,,
,,Saint-Clément-sur-Durance,,,,
,,Saint-Clément-sur-Guye,,,,
,,Saint-Clément-sur-Valsonne,,,,
,,Saint-Clément-à-Arnes,,,,
,,Saint-Colomb-de-Lauzun,,,,
,,Saint-Colomban,,,,
,,Saint-Colomban-des-Villards,,,,
,,Saint-Congard,,,,
,,Saint-Connan,,,,
,,Saint-Connec,,,,
,,Saint-Constant-Fournoulès,,,,
,,Saint-Contest,,,,
,,Saint-Corneille,,,,
,,Saint-Cosme,,,,
,,Saint-Cosme-en-Vairais,,,,
,,Saint-Couat-d'Aude,,,,
,,Saint-Couat-du-Razès,,,,
,,Saint-Coulitz,,,,
,,Saint-Coulomb,,,,
,,Saint-Coutant,,,,
,,Saint-Coutant-le-Grand,,,,
,,Saint-Crespin,,,,
,,Saint-Cricq,,,,
,,Saint-Cricq-Chalosse,,,,
,,Saint-Cricq-Villeneuve,,,,
,,Saint-Cricq-du-Gave,,,,
,,Saint-Créac,,,,
,,Saint-Crépin,,,,
,,Saint-Crépin-Ibouvillers,,,,
,,Saint-Crépin-aux-Bois,,,,
,,Saint-Crépin-d'Auberoche,,,,
,,Saint-Crépin-de-Richemont,,,,
,,Saint-Crépin-et-Carlucet,,,,
,,Saint-Cybardeaux,,,,
,,Saint-Cybranet,,,,
,,Saint-Cyprien,,,,
,,Saint-Cyr,,,,
,,Saint-Cyr-Montmalin,,,,
,,Saint-Cyr-au-Mont-d'Or,,,,
,,Saint-Cyr-de-Favières,,,,
,,Saint-Cyr-de-Salerne,,,,
,,Saint-Cyr-de-Valorges,,,,
,,Saint-Cyr-des-Gâts,,,,
,,Saint-Cyr-du-Bailleul,,,,
,,Saint-Cyr-du-Doret,,,,
,,Saint-Cyr-du-Gault,,,,
,,Saint-Cyr-en-Arthies,,,,
,,Saint-Cyr-en-Bourg,,,,
,,Saint-Cyr-en-Pail,,,,
,,Saint-Cyr-en-Talmondais,,,,
,,Saint-Cyr-en-Val,,,,
,,Saint-Cyr-l'École,,,,
,,Saint-Cyr-la-Campagne,,,,
,,Saint-Cyr-la-Lande,,,,
,,Saint-Cyr-la-Rivière,,,,
,,Saint-Cyr-la-Roche,,,,
,,Saint-Cyr-la-Rosière,,,,
,,Saint-Cyr-le-Chatoux,,,,
,,Saint-Cyr-le-Gravelais,,,,
,,Saint-Cyr-les-Champagnes,,,,
,,Saint-Cyr-les-Colons,,,,
,,Saint-Cyr-les-Vignes,,,,
,,Saint-Cyr-sous-Dourdan,,,,
,,Saint-Cyr-sur-Loire,,,,
,,Saint-Cyr-sur-Menthon,,,,
,,Saint-Cyr-sur-Mer,,,,
,,Saint-Cyr-sur-Morin,,,,
,,Saint-Cyr-sur-le-Rhône,,,,
,,Saint-Cyran-du-Jambot,,,,
,,Saint-Célerin,,,,
,,Saint-Céneri-le-Gérei,,,,
,,Saint-Céols,,,,
,,Saint-Céré,,,,
,,Saint-Césaire,,,,
,,Saint-Césaire-de-Gauzignan,,,,
,,Saint-Cézaire-sur-Siagne,,,,
,,Saint-Cézert,,,,
,,Saint-Côme,,,,
,,Saint-Côme-d'Olt,,,,
,,Saint-Côme-de-Fresné,,,,
,,Saint-Côme-et-Maruéjols,,,,
,,Saint-Dalmas-le-Selvage,,,,
,,Saint-Daunès,,,,
,,Saint-Denis,,,,
,,Saint-Denis-Catus,,,,
,,Saint-Denis-Combarnazat,,,,
,,Saint-Denis-d'Aclon,,,,
,,Saint-Denis-d'Anjou,,,,
,,Saint-Denis-d'Augerons,,,,
,,Saint-Denis-d'Authou,,,,
,,Saint-Denis-d'Oléron,,,,
,,Saint-Denis-d'Orques,,,,
,,Saint-Denis-de-Cabanne,,,,
,,Saint-Denis-de-Gastines,,,,
,,Saint-Denis-de-Jouhet,,,,
,,Saint-Denis-de-Mailloc,,,,
,,Saint-Denis-de-Méré,,,,
,,Saint-Denis-de-Palin,,,,
,,Saint-Denis-de-Pile,,,,
,,Saint-Denis-de-Vaux,,,,
,,Saint-Denis-de-l'Hôtel,,,,
,,Saint-Denis-des-Coudrais,,,,
,,Saint-Denis-des-Monts,,,,
,,Saint-Denis-des-Murs,,,,
,,Saint-Denis-des-Puits,,,,
,,Saint-Denis-du-Maine,,,,
,,Saint-Denis-du-Payré,,,,
,,Saint-Denis-en-Bugey,,,,
,,Saint-Denis-en-Margeride,,,,
,,Saint-Denis-en-Val,,,,
,,Saint-Denis-la-Chevasse,,,,
,,Saint-Denis-le-Ferment,,,,
,,Saint-Denis-le-Gast,,,,
,,Saint-Denis-le-Thiboult,,,,
,,Saint-Denis-le-Vêtu,,,,
,,Saint-Denis-les-Ponts,,,,
,,Saint-Denis-lès-Bourg,,,,
,,Saint-Denis-lès-Martel,,,,
,,Saint-Denis-lès-Rebais,,,,
,,Saint-Denis-lès-Sens,,,,
,,Saint-Denis-sur-Coise,,,,
,,Saint-Denis-sur-Huisne,,,,
,,Saint-Denis-sur-Loire,,,,
,,Saint-Denis-sur-Sarthon,,,,
,,Saint-Denis-sur-Scie,,,,
,,Saint-Deniscourt,,,,
,,Saint-Denoual,,,,
,,Saint-Denœux,,,,
,,Saint-Derrien,,,,
,,Saint-Didier,,,,
,,Saint-Didier-au-Mont-d'Or,,,,
,,Saint-Didier-d'Aussiat,,,,
,,Saint-Didier-de-Bizonnes,,,,
,,Saint-Didier-de-Formans,,,,
,,Saint-Didier-de-la-Tour,,,,
,,Saint-Didier-des-Bois,,,,
,,Saint-Didier-en-Bresse,,,,
,,Saint-Didier-en-Brionnais,,,,
,,Saint-Didier-en-Donjon,,,,
,,Saint-Didier-en-Velay,,,,
,,Saint-Didier-la-Forêt,,,,
,,Saint-Didier-sous-Aubenas,,,,
,,Saint-Didier-sous-Écouves,,,,
,,Saint-Didier-sur-Arroux,,,,
,,Saint-Didier-sur-Beaujeu,,,,
,,Saint-Didier-sur-Chalaronne,,,,
,,Saint-Didier-sur-Doulon,,,,
,,Saint-Didier-sur-Rochefort,,,,
,,Saint-Dier-d'Auvergne,,,,
,,Saint-Dionisy,,,,
,,Saint-Divy,,,,
,,Saint-Dizant-du-Bois,,,,
,,Saint-Dizant-du-Gua,,,,
,,Saint-Dizier,,,,
,,Saint-Dizier-Leyrenne,,,,
,,Saint-Dizier-en-Diois,,,,
,,Saint-Dizier-l'Évêque,,,,
,,Saint-Dizier-la-Tour,,,,
,,Saint-Dizier-les-Domaines,,,,
,,Saint-Dié-des-Vosges,,,,
,,Saint-Diéry,,,,
,,Saint-Dolay,,,,
,,Saint-Domet,,,,
,,Saint-Domineuc,,,,
,,Saint-Donan,,,,
,,Saint-Donat,,,,
,,Saint-Donat-sur-l'Herbasse,,,,
,,Saint-Dos,,,,
,,Saint-Doulchard,,,,
,,Saint-Drézéry,,,,
,,Saint-Dyé-sur-Loire,,,,
,,Saint-Désert,,,,
,,Saint-Désir,,,,
,,Saint-Désirat,,,,
,,Saint-Désiré,,,,
,,Saint-Dézéry,,,,
,,Saint-Edmond,,,,
,,Saint-Ellier-du-Maine,,,,
,,Saint-Ellier-les-Bois,,,,
,,Saint-Eloy,,,,
,,Saint-Ennemond,,,,
,,Saint-Epvre,,,,
,,Saint-Erblon,,,,
,,Saint-Erme-Outre-et-Ramecourt,,,,
,,Saint-Escobille,,,,
,,Saint-Esprit,,,,
,,Saint-Esteben,,,,
,,Saint-Estèphe,,,,
,,Saint-Estève,,,,
,,Saint-Estève-Janson,,,,
,,Saint-Eugène,,,,
,,Saint-Eulien,,,,
,,Saint-Euphraise-et-Clairizet,,,,
,,Saint-Euphrône,,,,
,,Saint-Eustache,,,,
,,Saint-Eustache-la-Forêt,,,,
,,Saint-Eusèbe,,,,
,,Saint-Eutrope-de-Born,,,,
,,Saint-Evroult-Notre-Dame-du-Bois,,,,
,,Saint-Evroult-de-Montfort,,,,
,,Saint-Exupéry,,,,
,,Saint-Exupéry-les-Roches,,,,
,,Saint-Fargeau,,,,
,,Saint-Fargeau-Ponthierry,,,,
,,Saint-Fargeol,,,,
,,Saint-Faust,,,,
,,Saint-Fergeux,,,,
,,Saint-Ferjeux,,,,
,,Saint-Ferme,,,,
,,Saint-Ferriol,,,,
,,Saint-Ferréol,,,,
,,Saint-Ferréol-Trente-Pas,,,,
,,Saint-Ferréol-d'Auroure,,,,
,,Saint-Ferréol-de-Comminges,,,,
,,Saint-Ferréol-des-Côtes,,,,
,,Saint-Fiacre,,,,
,,Saint-Fiacre-sur-Maine,,,,
,,Saint-Fiel,,,,
,,Saint-Firmin,,,,
,,Saint-Firmin-des-Bois,,,,
,,Saint-Firmin-des-Prés,,,,
,,Saint-Firmin-sur-Loire,,,,
,,Saint-Flavy,,,,
,,Saint-Florent,,,,
,,Saint-Florent-sur-Auzonnet,,,,
,,Saint-Florent-sur-Cher,,,,
,,Saint-Florentin,,,,
,,Saint-Floret,,,,
,,Saint-Floris,,,,
,,Saint-Flour,,,,
,,Saint-Flour-de-Mercoire,,,,
,,Saint-Flovier,,,,
,,Saint-Floxel,,,,
,,Saint-Folquin,,,,
,,Saint-Fons,,,,
,,Saint-Forgeot,,,,
,,Saint-Forget,,,,
,,Saint-Forgeux,,,,
,,Saint-Forgeux-Lespinasse,,,,
,,Saint-Fort,,,,
,,Saint-Fort-sur-Gironde,,,,
,,Saint-Fort-sur-le-Né,,,,
,,Saint-Fortunat-sur-Eyrieux,,,,
,,Saint-Fraigne,,,,
,,Saint-Fraimbault,,,,
,,Saint-Fraimbault-de-Prières,,,,
,,Saint-Frajou,,,,
,,Saint-Franc,,,,
,,Saint-Franchy,,,,
,,Saint-François,,,,
,,Saint-François-Lacroix,,,,
,,Saint-François-de-Sales,,,,
,,Saint-Frichoux,,,,
,,Saint-Frion,,,,
,,Saint-Fromond,,,,
,,Saint-Front,,,,
,,Saint-Front-d'Alemps,,,,
,,Saint-Front-de-Pradoux,,,,
,,Saint-Front-la-Rivière,,,,
,,Saint-Front-sur-Lémance,,,,
,,Saint-Front-sur-Nizonne,,,,
,,Saint-Froult,,,,
,,Saint-Frégant,,,,
,,Saint-Fréjoux,,,,
,,Saint-Frézal-d'Albuges,,,,
,,Saint-Fulgent,,,,
,,Saint-Fulgent-des-Ormes,,,,
,,Saint-Fuscien,,,,
,,Saint-Félicien,,,,
,,Saint-Féliu-d'Amont,,,,
,,Saint-Féliu-d'Avall,,,,
,,Saint-Félix,,,,
,,Saint-Félix-Lauragais,,,,
,,Saint-Félix-de-Bourdeilles,,,,
,,Saint-Félix-de-Foncaude,,,,
,,Saint-Félix-de-Lodez,,,,
,,Saint-Félix-de-Lunel,,,,
,,Saint-Félix-de-Pallières,,,,
,,Saint-Félix-de-Reillac-et-Mortemart,,,,
,,Saint-Félix-de-Rieutord,,,,
,,Saint-Félix-de-Sorgues,,,,
,,Saint-Félix-de-Tournegat,,,,
,,Saint-Félix-de-Villadeix,,,,
,,Saint-Félix-de-l'Héras,,,,
,,Saint-Gal,,,,
,,Saint-Gal-sur-Sioule,,,,
,,Saint-Galmier,,,,
,,Saint-Gand,,,,
,,Saint-Ganton,,,,
,,Saint-Gatien-des-Bois,,,,
,,Saint-Gaudens,,,,
,,Saint-Gaudent,,,,
,,Saint-Gaudéric,,,,
,,Saint-Gaultier,,,,
,,Saint-Gauzens,,,,
,,Saint-Gein,,,,
,,Saint-Gelais,,,,
,,Saint-Gence,,,,
,,Saint-Genest,,,,
,,Saint-Genest-Lachamp,,,,
,,Saint-Genest-Lerpt,,,,
,,Saint-Genest-Malifaux,,,,
,,Saint-Genest-d'Ambière,,,,
,,Saint-Genest-de-Beauzon,,,,
,,Saint-Genest-de-Contest,,,,
,,Saint-Genest-sur-Roselle,,,,
,,Saint-Geneys-près-Saint-Paulien,,,,
,,Saint-Gengoulph,,,,
,,Saint-Gengoux-de-Scissé,,,,
,,Saint-Gengoux-le-National,,,,
,,Saint-Geniez,,,,
,,Saint-Geniez-ô-Merle,,,,
,,Saint-Genis-Laval,,,,
,,Saint-Genis-Pouilly,,,,
,,Saint-Genis-d'Hiersac,,,,
,,Saint-Genis-de-Saintonge,,,,
,,Saint-Genis-du-Bois,,,,
,,Saint-Genis-l'Argentière,,,,
,,Saint-Genis-les-Ollières,,,,
,,Saint-Genis-sur-Menthon,,,,
,,Saint-Genix-sur-Guiers,,,,
,,Saint-Geniès,,,,
,,Saint-Geniès-Bellevue,,,,
,,Saint-Geniès-de-Comolas,,,,
,,Saint-Geniès-de-Fontedit,,,,
,,Saint-Geniès-de-Malgoirès,,,,
,,Saint-Geniès-de-Varensal,,,,
,,Saint-Geniès-des-Mourgues,,,,
,,Saint-Genou,,,,
,,Saint-Genouph,,,,
,,Saint-Genès-Champanelle,,,,
,,Saint-Genès-Champespe,,,,
,,Saint-Genès-de-Blaye,,,,
,,Saint-Genès-de-Castillon,,,,
,,Saint-Genès-de-Fronsac,,,,
,,Saint-Genès-de-Lombaud,,,,
,,Saint-Genès-du-Retz,,,,
,,Saint-Genès-la-Tourette,,,,
,,Saint-Geoire-en-Valdaine,,,,
,,Saint-Geoirs,,,,
,,Saint-Georges,,,,
,,Saint-Georges-Antignac,,,,
,,Saint-Georges-Armont,,,,
,,Saint-Georges-Blancaneix,,,,
,,Saint-Georges-Buttavent,,,,
,,Saint-Georges-Haute-Ville,,,,
,,Saint-Georges-Lagricol,,,,
,,Saint-Georges-Montcocq,,,,
,,Saint-Georges-Motel,,,,
,,Saint-Georges-Nigremont,,,,
,,Saint-Georges-d'Annebecq,,,,
,,Saint-Georges-d'Aurac,,,,
,,Saint-Georges-d'Elle,,,,
,,Saint-Georges-d'Espéranche,,,,
,,Saint-Georges-d'Hurtières,,,,
,,Saint-Georges-d'Oléron,,,,
,,Saint-Georges-d'Orques,,,,
,,Saint-Georges-de-Baroille,,,,
,,Saint-Georges-de-Chesné,,,,
,,Saint-Georges-de-Commiers,,,,
,,Saint-Georges-de-Didonne,,,,
,,Saint-Georges-de-Gréhaigne,,,,
,,Saint-Georges-de-Livoye,,,,
,,Saint-Georges-de-Longuepierre,,,,
,,Saint-Georges-de-Luzençon,,,,
,,Saint-Georges-de-Mons,,,,
,,Saint-Georges-de-Montaigu,,,,
,,Saint-Georges-de-Montclard,,,,
,,Saint-Georges-de-Noisné,,,,
,,Saint-Georges-de-Pointindoux,,,,
,,Saint-Georges-de-Poisieux,,,,
,,Saint-Georges-de-Reintembault,,,,
,,Saint-Georges-de-Reneins,,,,
,,Saint-Georges-de-Rex,,,,
,,Saint-Georges-de-Rouelley,,,,
,,Saint-Georges-de-la-Couée,,,,
,,Saint-Georges-de-la-Rivière,,,,
,,Saint-Georges-des-Agoûts,,,,
,,Saint-Georges-des-Coteaux,,,,
,,Saint-Georges-des-Groseillers,,,,
,,Saint-Georges-du-Bois,,,,
,,Saint-Georges-du-Mesnil,,,,
,,Saint-Georges-du-Rosay,,,,
,,Saint-Georges-du-Vièvre,,,,
,,Saint-Georges-en-Couzan,,,,
,,Saint-Georges-la-Pouge,,,,
,,Saint-Georges-le-Fléchard,,,,
,,Saint-Georges-le-Gaultier,,,,
,,Saint-Georges-les-Bains,,,,
,,Saint-Georges-les-Landes,,,,
,,Saint-Georges-lès-Baillargeaux,,,,
,,Saint-Georges-sur-Allier,,,,
,,Saint-Georges-sur-Arnon,,,,
,,Saint-Georges-sur-Baulche,,,,
,,Saint-Georges-sur-Cher,,,,
,,Saint-Georges-sur-Erve,,,,
,,Saint-Georges-sur-Eure,,,,
,,Saint-Georges-sur-Fontaine,,,,
,,Saint-Georges-sur-Loire,,,,
,,Saint-Georges-sur-Moulon,,,,
,,Saint-Georges-sur-Renon,,,,
,,Saint-Georges-sur-l'Aa,,,,
,,Saint-Georges-sur-la-Prée,,,,
,,Saint-Geours-d'Auribat,,,,
,,Saint-Geours-de-Maremne,,,,
,,Saint-Germain,,,,
,,Saint-Germain-Beaupré,,,,
,,Saint-Germain-Chassenay,,,,
,,Saint-Germain-Langot,,,,
,,Saint-Germain-Laprade,,,,
,,Saint-Germain-Laval,,,,
,,Saint-Germain-Lavolps,,,,
,,Saint-Germain-Laxis,,,,
,,Saint-Germain-Lembron,,,,
,,Saint-Germain-Lespinasse,,,,
,,Saint-Germain-Nuelles,,,,
,,Saint-Germain-au-Mont-d'Or,,,,
,,Saint-Germain-d'Anxure,,,,
,,Saint-Germain-d'Arcé,,,,
,,Saint-Germain-d'Aunay,,,,
,,Saint-Germain-d'Elle,,,,
,,Saint-Germain-d'Esteuil,,,,
,,Saint-Germain-d'Étables,,,,
,,Saint-Germain-de-Belvès,,,,
,,Saint-Germain-de-Calberte,,,,
,,Saint-Germain-de-Clairefeuille,,,,
,,Saint-Germain-de-Coulamer,,,,
,,Saint-Germain-de-Fresney,,,,
,,Saint-Germain-de-Grave,,,,
,,Saint-Germain-de-Joux,,,,
,,Saint-Germain-de-Livet,,,,
,,Saint-Germain-de-Longue-Chaume,,,,
,,Saint-Germain-de-Lusignan,,,,
,,Saint-Germain-de-Marencennes,,,,
,,Saint-Germain-de-Martigny,,,,
,,Saint-Germain-de-Modéon,,,,
,,Saint-Germain-de-Montbron,,,,
,,Saint-Germain-de-Pasquier,,,,
,,Saint-Germain-de-Prinçay,,,,
,,Saint-Germain-de-Salles,,,,
,,Saint-Germain-de-Tournebut,,,,
,,Saint-Germain-de-Varreville,,,,
,,Saint-Germain-de-Vibrac,,,,
,,Saint-Germain-de-la-Coudre,,,,
,,Saint-Germain-de-la-Grange,,,,
,,Saint-Germain-de-la-Rivière,,,,
,,Saint-Germain-des-Angles,,,,
,,Saint-Germain-des-Bois,,,,
,,Saint-Germain-des-Champs,,,,
,,Saint-Germain-des-Essourts,,,,
,,Saint-Germain-des-Fossés,,,,
,,Saint-Germain-des-Grois,,,,
,,Saint-Germain-des-Prés,,,,
,,Saint-Germain-du-Bel-Air,,,,
,,Saint-Germain-du-Bois,,,,
,,Saint-Germain-du-Corbéis,,,,
,,Saint-Germain-du-Pert,,,,
,,Saint-Germain-du-Pinel,,,,
,,Saint-Germain-du-Plain,,,,
,,Saint-Germain-du-Puch,,,,
,,Saint-Germain-du-Puy,,,,
,,Saint-Germain-du-Salembre,,,,
,,Saint-Germain-du-Seudre,,,,
,,Saint-Germain-du-Teil,,,,
,,Saint-Germain-en-Brionnais,,,,
,,Saint-Germain-en-Coglès,,,,
,,Saint-Germain-en-Laye,,,,
,,Saint-Germain-en-Montagne,,,,
,,Saint-Germain-et-Mons,,,,
,,Saint-Germain-l'Herm,,,,
,,Saint-Germain-la-Blanche-Herbe,,,,
,,Saint-Germain-la-Campagne,,,,
,,Saint-Germain-la-Montagne,,,,
,,Saint-Germain-la-Poterie,,,,
,,Saint-Germain-la-Ville,,,,
,,Saint-Germain-le-Châtelet,,,,
,,Saint-Germain-le-Fouilloux,,,,
,,Saint-Germain-le-Gaillard,,,,
,,Saint-Germain-le-Guillaume,,,,
,,Saint-Germain-le-Rocheux,,,,
,,Saint-Germain-le-Vasson,,,,
,,Saint-Germain-le-Vieux,,,,
,,Saint-Germain-les-Belles,,,,
,,Saint-Germain-les-Paroisses,,,,
,,Saint-Germain-les-Vergnes,,,,
,,Saint-Germain-lès-Arpajon,,,,
,,Saint-Germain-lès-Buxy,,,,
,,Saint-Germain-lès-Corbeil,,,,
,,Saint-Germain-lès-Senailly,,,,
,,Saint-Germain-près-Herment,,,,
,,Saint-Germain-sous-Cailly,,,,
,,Saint-Germain-sous-Doue,,,,
,,Saint-Germain-sur-Avre,,,,
,,Saint-Germain-sur-Ay,,,,
,,Saint-Germain-sur-Bresle,,,,
,,Saint-Germain-sur-Eaulne,,,,
,,Saint-Germain-sur-Ille,,,,
,,Saint-Germain-sur-Meuse,,,,
,,Saint-Germain-sur-Morin,,,,
,,Saint-Germain-sur-Renon,,,,
,,Saint-Germain-sur-Rhône,,,,
,,Saint-Germain-sur-Sarthe,,,,
,,Saint-Germain-sur-Sèves,,,,
,,Saint-Germain-sur-Vienne,,,,
,,Saint-Germain-sur-École,,,,
,,Saint-Germainmont,,,,
,,Saint-Germer-de-Fly,,,,
,,Saint-Germier,,,,
,,Saint-Germé,,,,
,,Saint-Gervais,,,,
,,Saint-Gervais-d'Auvergne,,,,
,,Saint-Gervais-de-Vic,,,,
,,Saint-Gervais-des-Sablons,,,,
,,Saint-Gervais-du-Perron,,,,
,,Saint-Gervais-en-Belin,,,,
,,Saint-Gervais-en-Vallière,,,,
,,Saint-Gervais-la-Forêt,,,,
,,Saint-Gervais-les-Bains,,,,
,,Saint-Gervais-les-Trois-Clochers,,,,
,,Saint-Gervais-sous-Meymont,,,,
,,Saint-Gervais-sur-Couches,,,,
,,Saint-Gervais-sur-Mare,,,,
,,Saint-Gervais-sur-Roubion,,,,
,,Saint-Gervasy,,,,
,,Saint-Gervazy,,,,
,,Saint-Geyrac,,,,
,,Saint-Gibrien,,,,
,,Saint-Gildas,,,,
,,Saint-Gildas-de-Rhuys,,,,
,,Saint-Gildas-des-Bois,,,,
,,Saint-Gilles,,,,
,,Saint-Gilles-Croix-de-Vie,,,,
,,Saint-Gilles-Pligeaux,,,,
,,Saint-Gilles-Vieux-Marché,,,,
,,Saint-Gilles-de-Crétot,,,,
,,Saint-Gilles-de-la-Neuville,,,,
,,Saint-Gilles-des-Marais,,,,
,,Saint-Gilles-les-Bois,,,,
,,Saint-Gilles-les-Forêts,,,,
,,Saint-Gineis-en-Coiron,,,,
,,Saint-Gingolph,,,,
,,Saint-Girons,,,,
,,Saint-Girons-d'Aiguevives,,,,
,,Saint-Girons-en-Béarn,,,,
,,Saint-Gladie-Arrive-Munein,,,,
,,Saint-Glen,,,,
,,Saint-Goazec,,,,
,,Saint-Gobain,,,,
,,Saint-Gobert,,,,
,,Saint-Goin,,,,
,,Saint-Gondon,,,,
,,Saint-Gondran,,,,
,,Saint-Gonlay,,,,
,,Saint-Gonnery,,,,
,,Saint-Gor,,,,
,,Saint-Gorgon,,,,
,,Saint-Gorgon-Main,,,,
,,Saint-Gourgon,,,,
,,Saint-Gourson,,,,
,,Saint-Goussaud,,,,
,,Saint-Gratien,,,,
,,Saint-Gratien-Savigny,,,,
,,Saint-Gravé,,,,
,,Saint-Griède,,,,
,,Saint-Groux,,,,
,,Saint-Grégoire,,,,
